ClipName,Frame,RootT.x,RootT.z,FootLeftT.x,FootLeftT.z,FootRightT.x,FootRightT.z,FootLeftV.x,FootLeftV.z,FootRightV.x,FootRightV.z,RootV.x,RootV.z,TrajPos.x,TrajPos.z,TrajForward.x,TrajForward.z
Turn45Left,1,-1.734456,11.71652,10.63315,-5.656576,10.72167,-5.562315,1.095931E-05,1.103083E-05,-0.00137043,-0.002456061,-0.001334953,-0.002503522,-1.734456,11.71652,0.8134124,0.5684976
Turn45Left,2,-1.734049,11.71736,10.58108,-5.750646,10.67123,-5.658207,1.355807E-05,2.794266E-05,-0.001735497,-0.003135665,-0.001681264,-0.003196382,-1.734049,11.71736,0.8084838,0.5756888
Turn45Left,3,-1.733553,11.71879,10.51413,-5.86745,10.60665,-5.777364,1.654228E-05,4.762014E-05,-0.002231789,-0.003893455,-0.002152729,-0.003971911,-1.733553,11.71879,0.8023001,0.5847069
Turn45Left,4,-1.732956,11.72089,10.43813,-6.008584,10.53333,-5.921715,1.990795E-05,7.009506E-05,-0.002533372,-0.004704491,-0.002444045,-0.0048117,-1.732956,11.72089,0.7945601,0.5955399
Turn45Left,5,-1.732246,11.72375,10.34252,-6.177917,10.44107,-6.094594,2.366304E-05,9.527207E-05,-0.003186735,-0.005644417,-0.003075377,-0.005762609,-1.732246,11.72375,0.785024,0.6085647
Turn45Left,6,-1.731412,11.72745,10.21723,-6.378065,10.31916,-6.29996,2.779961E-05,0.0001232783,-0.004176458,-0.006671587,-0.00406367,-0.006845538,-1.731412,11.72745,0.7734438,0.6240948
Turn45Left,7,-1.730442,11.73207,10.0648,-6.610454,10.17054,-6.537962,3.232161E-05,0.0001539866,-0.005080923,-0.007746315,-0.004953797,-0.00793341,-1.730442,11.73207,0.7593694,0.6420506
Turn45Left,8,-1.729325,11.73769,9.861542,-6.90669,9.971217,-6.841866,3.722906E-05,0.0001874924,-0.006775379,-0.009874535,-0.006644185,-0.01013012,-1.729325,11.73769,0.7403209,0.6648976
Turn45Left,9,-1.72805,11.74441,9.610585,-7.256384,9.724566,-7.201715,4.252196E-05,0.0002237956,-0.008365218,-0.01165646,-0.00822169,-0.01199498,-1.72805,11.74441,0.7162228,0.6919538
Turn45Left,10,-1.72685,11.75229,9.346259,-7.598616,9.464884,-7.555489,3.998279E-05,0.0002627691,-0.008810869,-0.01140774,-0.008656088,-0.01179245,-1.72685,11.75229,0.6907845,0.7184924
Turn45Left,11,-1.725964,11.76143,9.095833,-7.898801,9.220634,-7.87049,2.954006E-05,0.0003046036,-0.008347543,-0.01000616,-0.008141645,-0.01050003,-1.725964,11.76143,0.6665868,0.7419931
Turn45Left,12,-1.725383,11.7719,8.819411,-8.205475,8.955416,-8.19573,1.935562E-05,0.0003491402,-0.009214052,-0.01022247,-0.008840624,-0.01084135,-1.725383,11.7719,0.640031,0.7657508
Turn45Left,13,-1.7251,11.7838,8.46318,-8.547324,8.629663,-8.562449,9.433428E-06,0.0003964424,-0.01187439,-0.01139498,-0.01085844,-0.01222397,-1.7251,11.7838,0.607229,0.7929948
Turn45Left,14,-1.725107,11.79719,8.18871,-8.798098,8.385069,-8.836511,-2.264976E-07,0.0004465421,-0.00914898,-0.008359115,-0.008153121,-0.009135374,-1.725107,11.79719,0.5812116,0.8127593
Turn45Left,15,-1.725396,11.81217,7.829093,-9.063814,8.070056,-9.139756,-9.620189E-06,0.0004994075,-0.01198726,-0.008857219,-0.01050043,-0.01010819,-1.725396,11.81217,0.5493153,0.835285
Turn45Left,16,-1.725958,11.82882,7.543305,-9.252407,7.819641,-9.365766,-1.875162E-05,0.0005549749,-0.009526253,-0.00628643,-0.008347162,-0.007533646,-1.725958,11.82882,0.5237887,0.8517993
